DatasetID,PathID,PathString,path_fidelity,avg_time_us
0,1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10,0.790506,748.046418
0,3,n1->n2->n3->n13->n14->n15->n16->n17->n18->n19->n20->n10,0.715554,764.868516
0,6,n1->n2->n3->n13->n23->n24->n25->n15->n5->n6->n7->n8->n9->n10,0.714667,946.308331
0,10,n1->n2->n3->n4->n5->n15->n25->n26->n27->n28->n29->n19->n9->n10,0.754278,886.045228
0,20,n1->n11->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10,0.725773,621.609719
0,4,n1->n2->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10,0.736381,740.462791
0,8,n1->n2->n3->n4->n14->n24->n25->n26->n16->n6->n7->n8->n9->n10,0.721351,850.170085
0,5,n1->n11->n21->n22->n12->n13->n3->n4->n14->n15->n16->n17->n18->n19->n20->n10,0.675984,795.922989
0,12,n1->n2->n3->n4->n5->n6->n16->n17->n27->n28->n29->n19->n9->n10,0.724411,895.661782
0,9,n1->n11->n21->n22->n12->n13->n14->n15->n5->n6->n16->n17->n18->n19->n20->n10,0.686632,746.194524
0,7,n1->n11->n21->n22->n12->n13->n14->n4->n5->n15->n16->n17->n18->n19->n20->n10,0.682841,750.997205
0,14,n1->n2->n3->n4->n5->n15->n25->n26->n27->n17->n7->n8->n9->n10,0.727157,969.767250
0,2,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10,0.755227,844.976737
0,22,n1->n2->n12->n13->n23->n33->n34->n35->n36->n26->n27->n28->n29->n19->n9->n10,0.736266,987.994446
0,11,n1->n11->n21->n22->n12->n13->n14->n15->n16->n6->n7->n17->n18->n19->n20->n10,0.669127,810.673555
0,19,n1->n2->n3->n13->n23->n24->n25->n26->n27->n28->n29->n30->n20->n10,0.732961,822.877380
0,16,n1->n2->n3->n4->n14->n24->n25->n26->n27->n28->n18->n8->n9->n10,0.722411,894.890637
0,23,n1->n2->n12->n22->n23->n24->n25->n26->n27->n28->n29->n19->n9->n10,0.723251,930.335457
0,13,n1->n11->n21->n22->n12->n13->n14->n15->n16->n17->n7->n8->n18->n19->n20->n10,0.661099,888.139473
0,24,n1->n2->n3->n13->n14->n24->n25->n26->n27->n28->n29->n19->n9->n10,0.752509,929.505509
0,15,n1->n11->n21->n22->n12->n13->n14->n15->n16->n17->n18->n8->n9->n19->n20->n10,0.676566,1000.545983
0,27,n1->n11->n12->n22->n23->n24->n14->n15->n16->n17->n18->n19->n20->n10,0.694204,765.042827
0,25,n1->n11->n12->n22->n23->n13->n14->n15->n16->n17->n18->n19->n20->n10,0.686356,722.201476
0,26,n1->n2->n3->n4->n14->n15->n25->n26->n27->n28->n29->n19->n9->n10,0.741466,922.589793
0,17,n1->n11->n21->n31->n32->n33->n34->n35->n36->n37->n38->n39->n29->n30->n20->n19->n9->n10,0.670617,1056.009085
0,28,n1->n2->n3->n4->n5->n15->n16->n26->n27->n28->n29->n19->n9->n10,0.730496,851.004164
0,29,n1->n11->n12->n22->n23->n33->n34->n35->n25->n15->n16->n17->n18->n19->n20->n10,0.685919,828.932343
0,33,n1->n11->n12->n13->n14->n15->n16->n17->n27->n37->n38->n39->n29->n30->n20->n10,0.645258,906.631542
0,30,n1->n2->n3->n13->n23->n24->n25->n26->n16->n17->n7->n8->n9->n10,0.720536,951.709628
0,21,n1->n2->n12->n11->n21->n31->n41->n42->n32->n22->n23->n24->n25->n26->n27->n28->n29->n19->n9->n10,0.652276,1333.319050
0,18,n1->n2->n12->n13->n23->n24->n25->n35->n45->n46->n47->n48->n38->n28->n18->n19->n9->n10,0.661914,1106.476151
0,31,n1->n11->n12->n13->n14->n15->n16->n26->n36->n37->n38->n28->n18->n19->n20->n10,0.684366,746.249318
0,32,n1->n2->n3->n4->n14->n24->n25->n26->n27->n17->n18->n28->n29->n19->n9->n10,0.721358,955.186183
0,35,n1->n11->n21->n22->n32->n33->n34->n35->n25->n15->n5->n6->n7->n8->n18->n28->n29->n30->n20->n10,0.671529,1138.338085
0,41,n1->n11->n21->n22->n23->n13->n3->n4->n5->n6->n7->n8->n9->n10,0.723281,942.080219
0,40,n1->n11->n21->n31->n32->n22->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10,0.680263,925.639376
0,37,n1->n11->n21->n22->n32->n33->n43->n44->n45->n46->n36->n37->n38->n39->n29->n19->n20->n10,0.670936,1098.088916
0,45,n1->n11->n21->n22->n32->n33->n34->n24->n25->n35->n36->n37->n38->n39->n29->n30->n20->n10,0.699373,992.191417
0,38,n1->n2->n12->n22->n23->n33->n43->n44->n45->n46->n47->n57->n58->n59->n49->n50->n40->n30->n20->n10,0.618781,1424.865168
0,46,n1->n2->n12->n13->n14->n24->n34->n35->n45->n46->n36->n26->n16->n6->n7->n8->n9->n10,0.685689,1191.578705
0,36,n1->n2->n3->n13->n23->n24->n25->n26->n27->n37->n47->n48->n49->n39->n40->n30->n20->n19->n9->n10,0.661949,1307.679576
0,42,n1->n2->n3->n13->n23->n22->n32->n42->n43->n53->n54->n55->n56->n46->n47->n37->n27->n17->n7->n8->n9->n10,0.646142,1419.314993
0,50,n1->n2->n3->n4->n5->n15->n25->n26->n36->n46->n47->n48->n38->n39->n29->n30->n20->n10,0.667016,973.460923
0,43,n1->n11->n21->n22->n32->n33->n23->n24->n34->n35->n36->n37->n38->n39->n29->n30->n20->n10,0.658044,1043.831503
0,34,n1->n2->n3->n4->n14->n24->n34->n44->n54->n55->n56->n57->n47->n37->n27->n28->n29->n19->n18->n8->n9->n10,0.627786,1400.988667
0,44,n1->n2->n3->n13->n23->n33->n43->n53->n54->n55->n56->n57->n67->n68->n58->n48->n38->n28->n18->n8->n9->n10,0.651936,1339.668205
0,48,n1->n2->n3->n13->n14->n24->n34->n44->n45->n35->n25->n26->n27->n17->n7->n8->n9->n10,0.681926,1346.184397
0,47,n1->n11->n21->n22->n32->n33->n34->n35->n25->n26->n36->n37->n38->n28->n18->n19->n20->n10,0.704758,952.275329
0,49,n1->n11->n21->n31->n32->n33->n43->n44->n45->n46->n36->n37->n27->n26->n16->n17->n18->n19->n20->n10,0.660109,1083.653571
0,51,n1->n11->n21->n31->n32->n33->n43->n44->n45->n46->n36->n37->n27->n28->n38->n39->n40->n30->n20->n10,0.663657,1276.815729
0,53,n1->n11->n21->n31->n32->n33->n43->n44->n45->n46->n36->n37->n38->n28->n29->n39->n40->n30->n20->n10,0.664883,1253.711777
0,39,n1->n2->n3->n13->n23->n22->n21->n31->n41->n42->n43->n53->n54->n44->n34->n24->n25->n26->n27->n28->n29->n19->n9->n10,0.636481,1392.280221
0,61,n1->n11->n12->n22->n32->n42->n43->n33->n34->n35->n36->n26->n16->n17->n18->n19->n20->n10,0.680607,760.117841
0,52,n1->n2->n12->n22->n23->n33->n34->n35->n45->n55->n65->n66->n67->n57->n58->n48->n38->n37->n27->n28->n18->n8->n9->n10,0.626863,1454.146605
0,68,n1->n2->n3->n4->n5->n15->n25->n26->n36->n37->n27->n17->n7->n8->n9->n10,0.703644,1048.235893
0,57,n1->n11->n12->n13->n14->n15->n25->n35->n45->n55->n56->n66->n67->n68->n69->n59->n60->n50->n40->n30->n29->n19->n18->n8->n9->n10,0.623652,1659.196379
0,67,n1->n11->n21->n22->n32->n33->n43->n44->n45->n35->n36->n37->n38->n39->n40->n30->n20->n10,0.665419,1197.655812
0,56,n1->n2->n12->n22->n23->n33->n34->n44->n54->n55->n56->n57->n58->n48->n49->n39->n29->n19->n18->n8->n9->n10,0.625229,1452.771337
0,71,n1->n11->n21->n22->n23->n33->n43->n44->n45->n46->n36->n37->n47->n48->n38->n39->n29->n30->n20->n10,0.636619,1189.147266
0,55,n1->n2->n12->n22->n23->n33->n43->n44->n45->n46->n56->n57->n58->n48->n49->n50->n40->n30->n29->n19->n9->n10,0.664064,1562.869525
0,54,n1->n2->n3->n4->n14->n24->n34->n44->n54->n64->n65->n75->n76->n77->n78->n68->n69->n59->n49->n39->n38->n28->n29->n19->n9->n10,0.602207,1681.076935
0,60,n1->n2->n3->n13->n23->n33->n32->n42->n52->n53->n54->n44->n34->n24->n14->n4->n5->n6->n7->n8->n9->n10,0.639704,1472.208708
0,66,n1->n2->n3->n4->n5->n15->n25->n35->n36->n46->n47->n48->n38->n28->n18->n8->n9->n10,0.679821,1078.341788
0,69,n1->n2->n12->n22->n23->n33->n34->n44->n54->n55->n56->n46->n36->n26->n27->n17->n18->n19->n9->n10,0.660901,1217.333578
0,62,n1->n2->n3->n4->n14->n24->n34->n33->n43->n53->n63->n64->n65->n75->n76->n77->n67->n68->n58->n59->n49->n50->n40->n30->n20->n10,0.625911,1471.485435
0,65,n1->n11->n12->n13->n14->n15->n16->n26->n36->n35->n34->n44->n45->n46->n56->n66->n67->n68->n58->n59->n60->n50->n40->n30->n20->n10,0.622051,1378.762910
0,64,n1->n2->n3->n4->n14->n24->n25->n35->n34->n44->n43->n53->n63->n64->n65->n75->n76->n77->n78->n79->n69->n59->n49->n39->n29->n19->n9->n10,0.604104,1649.944552
0,63,n1->n2->n12->n13->n23->n33->n43->n42->n52->n62->n63->n73->n74->n75->n85->n86->n76->n66->n65->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.578199,1897.757576
0,58,n1->n2->n3->n13->n23->n24->n34->n44->n54->n53->n52->n42->n32->n31->n41->n51->n61->n62->n63->n64->n65->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.571378,1897.832205
0,70,n1->n2->n3->n4->n14->n24->n34->n44->n54->n55->n56->n46->n47->n48->n38->n37->n27->n17->n7->n8->n9->n10,0.607556,1212.869144
0,72,n1->n2->n12->n22->n32->n42->n52->n53->n54->n55->n56->n57->n58->n48->n49->n39->n38->n28->n18->n8->n9->n10,0.628104,1498.718571
0,59,n1->n11->n12->n13->n14->n15->n16->n26->n36->n35->n34->n33->n32->n31->n41->n51->n52->n62->n72->n73->n74->n64->n54->n55->n56->n46->n47->n37->n27->n17->n18->n19->n20->n10,0.552994,1751.021647
0,79,n1->n11->n21->n31->n32->n42->n43->n44->n45->n46->n36->n37->n38->n39->n40->n30->n20->n10,0.668564,1227.121017
0,75,n1->n11->n12->n13->n14->n15->n16->n26->n36->n46->n47->n57->n67->n68->n58->n59->n60->n50->n49->n39->n40->n30->n20->n10,0.621404,1459.771954
0,81,n1->n2->n3->n13->n23->n24->n34->n44->n43->n53->n54->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.631684,1404.264686
0,86,n1->n11->n21->n22->n32->n33->n43->n44->n45->n55->n56->n46->n36->n26->n16->n17->n18->n19->n20->n10,0.662343,1041.716791
0,78,n1->n2->n12->n22->n21->n31->n41->n51->n61->n71->n72->n82->n83->n84->n74->n75->n65->n66->n56->n57->n58->n48->n38->n28->n29->n19->n9->n10,0.595966,1482.398076
0,74,n1->n2->n12->n13->n14->n24->n34->n44->n54->n55->n56->n57->n58->n59->n49->n50->n40->n39->n29->n19->n18->n8->n9->n10,0.648596,1629.430654
0,73,n1->n11->n12->n22->n32->n42->n52->n53->n63->n64->n65->n75->n76->n77->n78->n68->n69->n59->n49->n48->n38->n28->n29->n19->n20->n10,0.595514,1435.388207
