DatasetID,PathID,PathString,node_t1,node_t2,node_p_depol_1q,node_p_depol_2q,node_coh1_angle,node_coh2_zz_angle,node_src_visibility,node_src_phase,edge_length,edge_attenuation,edge_insertion_loss_db,d1_coupling_1,d1_coupling_2,d1_mzi_phase_error,d1_mzi_loss_short,d1_mzi_loss_long,d1_bs1_reflectivity,d1_bs1_loss,d1_bs2_reflectivity,d1_bs2_loss,d1_snspd1_efficiency,d1_snspd1_jitter,d1_snspd1_dark,d1_snspd1_dead,d1_snspd2_efficiency,d1_snspd2_jitter,d1_snspd2_dark,d1_snspd2_dead,d2_coupling_1,d2_coupling_2,d2_mzi_phase_error,d2_mzi_loss_short,d2_mzi_loss_long,d2_bs1_reflectivity,d2_bs1_loss,d2_bs2_reflectivity,d2_bs2_loss,d2_snspd1_efficiency,d2_snspd1_jitter,d2_snspd1_dark,d2_snspd1_dead,d2_snspd2_efficiency,d2_snspd2_jitter,d2_snspd2_dark,d2_snspd2_dead
21,1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|1.28283e+13|3.54527e+10|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|1.75978e+12|1.34109e+10|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|1.56857e-05|0.00053509|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000996159|0.00111403|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.0260713|0.0376779|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0366412|0.0374513|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.921174|0.975052|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|5.84933|5.09597|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.176262|0.219351|0.209944|0.211558|0.197041|0.169405|0.199517|0.196084|0.216797,0.956739|0.68498|0.336738|0.478084|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,2,n1->n2->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|4.65396e+10|4.33848e+12|9.44371e+10|3.54527e+10|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|2.98265e+10|6.03693e+11|1.96851e+10|1.34109e+10|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|2.45488e-05|5.88272e-05|1.73773e-05|0.00053509|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000190418|0.00424845|0.000105989|0.00111403|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.00446051|0.0458383|0.0301837|0.0376779|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0425663|0.0256548|0.0306216|0.0374513|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.96791|0.911596|0.922253|0.975052|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|3.92439|6.14821|1.01779|5.09597|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|88.6198|13.9548|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.176262|0.183611|0.200147|0.187186|0.226861|0.211558|0.197041|0.169405|0.199517|0.196084|0.216797,0.956739|0.177947|0.890635|0.98861|0.955672|0.478084|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,3,n1->n2->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|4.65396e+10|4.33848e+12|1.28283e+13|3.54527e+10|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|2.98265e+10|6.03693e+11|1.75978e+12|1.34109e+10|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|2.45488e-05|5.88272e-05|1.56857e-05|0.00053509|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000190418|0.00424845|0.000996159|0.00111403|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.00446051|0.0458383|0.0260713|0.0376779|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0425663|0.0256548|0.0366412|0.0374513|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.96791|0.911596|0.921174|0.975052|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|3.92439|6.14821|5.84933|5.09597|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|88.6198|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.176262|0.183611|0.200147|0.238612|0.209944|0.211558|0.197041|0.169405|0.199517|0.196084|0.216797,0.956739|0.177947|0.890635|0.312448|0.336738|0.478084|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,4,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10,5.08892e+10|4.1518e+13|4.65396e+10|6.03884e+10|1.28283e+13|3.54527e+10|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|6.17084e+12|2.98265e+10|2.28369e+10|1.75978e+12|1.34109e+10|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|1.80864e-05|2.45488e-05|3.47401e-05|1.56857e-05|0.00053509|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000110737|0.000190418|0.000260817|0.000996159|0.00111403|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00862057|0.00446051|0.00747541|0.0260713|0.0376779|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0406976|0.0425663|0.0404655|0.0366412|0.0374513|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.977329|0.96791|0.984167|0.921174|0.975052|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|3.39576|3.92439|5.68454|5.84933|5.09597|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,30.2686|24.4191|88.6198|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.229587|0.188645|0.183611|0.219351|0.209944|0.211558|0.197041|0.169405|0.199517|0.196084|0.216797,0.576277|0.61512|0.177947|0.68498|0.336738|0.478084|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,5,n1->n2->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|4.65396e+10|4.33848e+12|9.44371e+10|4.3656e+11|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|2.98265e+10|6.03693e+11|1.96851e+10|1.18974e+11|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|2.45488e-05|5.88272e-05|1.73773e-05|4.04863e-05|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000190418|0.00424845|0.000105989|0.000273191|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.00446051|0.0458383|0.0301837|0.0429653|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0425663|0.0256548|0.0306216|0.0491914|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.96791|0.911596|0.922253|0.93378|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|3.92439|6.14821|1.01779|4.38649|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|88.6198|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.176262|0.183611|0.200147|0.187186|0.164961|0.219529|0.197041|0.169405|0.199517|0.196084|0.216797,0.956739|0.177947|0.890635|0.98861|0.194475|0.216266|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,6,n1->n11->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,5.08892e+10|4.1518e+13|4.65396e+10|4.33848e+12|1.28283e+13|3.54527e+10|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|6.17084e+12|2.98265e+10|6.03693e+11|1.75978e+12|1.34109e+10|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|1.80864e-05|2.45488e-05|5.88272e-05|1.56857e-05|0.00053509|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000110737|0.000190418|0.00424845|0.000996159|0.00111403|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00862057|0.00446051|0.0458383|0.0260713|0.0376779|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0406976|0.0425663|0.0256548|0.0366412|0.0374513|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.977329|0.96791|0.911596|0.921174|0.975052|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|3.39576|3.92439|6.14821|5.84933|5.09597|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,30.2686|24.4191|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.229587|0.188645|0.200147|0.238612|0.209944|0.211558|0.197041|0.169405|0.199517|0.196084|0.216797,0.576277|0.61512|0.890635|0.312448|0.336738|0.478084|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,7,n1->n2->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|1.28283e+13|3.54527e+10|9.44371e+10|4.3656e+11|2.12685e+13|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|1.75978e+12|1.34109e+10|1.96851e+10|1.18974e+11|2.26294e+12|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|1.56857e-05|0.00053509|1.73773e-05|4.04863e-05|0.000654832|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000996159|0.00111403|0.000105989|0.000273191|0.000996089|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.0260713|0.0376779|0.0301837|0.0429653|0.0278375|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0366412|0.0374513|0.0306216|0.0491914|0.0269937|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.921174|0.975052|0.922253|0.93378|0.923078|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|5.84933|5.09597|1.01779|4.38649|4.91497|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|37.015|10.4739|52.1141|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.176262|0.219351|0.209944|0.226861|0.164961|0.24196|0.169253|0.169405|0.199517|0.196084|0.216797,0.956739|0.68498|0.336738|0.955672|0.194475|0.271926|0.215899|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,8,n1->n11->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,5.08892e+10|4.1518e+13|4.65396e+10|4.33848e+12|9.44371e+10|4.3656e+11|9.16885e+10|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|6.17084e+12|2.98265e+10|6.03693e+11|1.96851e+10|1.18974e+11|2.11773e+10|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|1.80864e-05|2.45488e-05|5.88272e-05|1.73773e-05|4.04863e-05|0.000404572|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000110737|0.000190418|0.00424845|0.000105989|0.000273191|0.00144351|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00862057|0.00446051|0.0458383|0.0301837|0.0429653|0.0303857|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0406976|0.0425663|0.0256548|0.0306216|0.0491914|0.0205959|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.977329|0.96791|0.911596|0.922253|0.93378|0.919153|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|3.39576|3.92439|6.14821|1.01779|4.38649|2.87098|0.849013|0.5441|2.59276|2.65733|4.06082,30.2686|24.4191|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.229587|0.188645|0.200147|0.187186|0.164961|0.219529|0.197041|0.169405|0.199517|0.196084|0.216797,0.576277|0.61512|0.890635|0.98861|0.194475|0.216266|0.139919|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,9,n1->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|1.28283e+13|3.54527e+10|9.16885e+10|4.3656e+11|2.12685e+13|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|1.75978e+12|1.34109e+10|2.11773e+10|1.18974e+11|2.26294e+12|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|1.56857e-05|0.00053509|0.000404572|4.04863e-05|0.000654832|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000996159|0.00111403|0.00144351|0.000273191|0.000996089|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.0260713|0.0376779|0.0303857|0.0429653|0.0278375|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0366412|0.0374513|0.0205959|0.0491914|0.0269937|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.921174|0.975052|0.919153|0.93378|0.923078|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|5.84933|5.09597|2.87098|4.38649|4.91497|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|37.015|10.4739|81.7362|35.0583|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.176262|0.219351|0.209944|0.211558|0.219529|0.24196|0.169253|0.169405|0.199517|0.196084|0.216797,0.956739|0.68498|0.336738|0.478084|0.216266|0.271926|0.215899|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,10,n1->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10,5.08892e+10|6.03884e+10|1.28283e+13|4.33848e+12|9.44371e+10|4.3656e+11|2.12685e+13|7.0507e+13|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|1.75978e+12|6.03693e+11|1.96851e+10|1.18974e+11|2.26294e+12|1.37752e+13|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|1.56857e-05|5.88272e-05|1.73773e-05|4.04863e-05|0.000654832|3.49958e-05|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000996159|0.00424845|0.000105989|0.000273191|0.000996089|0.000182628|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.0260713|0.0458383|0.0301837|0.0429653|0.0278375|0.024059|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0366412|0.0256548|0.0306216|0.0491914|0.0269937|0.0144265|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.921174|0.911596|0.922253|0.93378|0.923078|0.965277|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|5.84933|6.14821|1.01779|4.38649|4.91497|0.849013|0.5441|2.59276|2.65733|4.06082,79.8117|37.015|83.9106|56.34|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.176262|0.219351|0.238612|0.187186|0.164961|0.24196|0.169253|0.169405|0.199517|0.196084|0.216797,0.956739|0.68498|0.312448|0.98861|0.194475|0.271926|0.215899|0.695402|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
21,11,n1->n2->n3->n4->n5->n15->n16->n17->n7->n8->n9->n10,5.08892e+10|6.03884e+10|1.28283e+13|3.54527e+10|9.16885e+10|4.3656e+11|2.12685e+13|4.58872e+12|1.7241e+10|3.09508e+13|2.9547e+11|2.96039e+11,2.06287e+10|2.28369e+10|1.75978e+12|1.34109e+10|2.11773e+10|1.18974e+11|2.26294e+12|5.72116e+11|1.98799e+09|9.05131e+12|2.84203e+11|5.06763e+10,5.44147e-05|3.47401e-05|1.56857e-05|0.00053509|0.000404572|4.04863e-05|0.000654832|0.000133531|1.21044e-05|0.000344578|1.18736e-05|1.17004e-05,0.000170941|0.000260817|0.000996159|0.00111403|0.00144351|0.000273191|0.000996089|0.00820451|0.004249|0.00170418|0.0015146|0.000386978,0.0436299|0.00747541|0.0260713|0.0376779|0.0303857|0.0429653|0.0278375|0.0435579|0.0452939|0.0174935|0.0262497|0.0418181,0.0254826|0.0404655|0.0366412|0.0374513|0.0205959|0.0491914|0.0269937|0.0312952|0.0381944|0.01324|0.00114481|0.0403929,0.930576|0.984167|0.921174|0.975052|0.919153|0.93378|0.923078|0.918876|0.982191|0.911222|0.931326|0.917171,0.102823|5.68454|5.84933|5.09597|2.87098|4.38649|4.91497|2.18167|0.5441|2.59276|2.65733|4.06082,79.8117|37.015|10.4739|81.7362|35.0583|56.2706|32.2763|59.8148|55.4093|99.595|65.9961,0.176262|0.219351|0.209944|0.211558|0.219529|0.24196|0.239101|0.242234|0.199517|0.196084|0.216797,0.956739|0.68498|0.336738|0.478084|0.216266|0.271926|0.512927|0.348521|0.507093|0.736769|0.661767,0.919569,0.956501,0.0975092,0.787719,0.154986,0.54717,0.0634,0.476678,0.153699,0.800935,49.8204,6.06598e-13,77412,0.936396,65.4161,4.86117e-12,37921,0.965492,0.901419,0.07447,0.113433,0.218383,0.486049,0.209656,0.534527,0.297858,0.876938,50.7884,1.15942e-10,38910,0.897293,70.9316,8.81047e-13,35163
