PathID,PathString
1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10
2,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10
3,n1->n2->n3->n13->n14->n15->n16->n17->n18->n19->n20->n10
4,n1->n2->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10
5,n1->n11->n21->n22->n12->n13->n3->n4->n14->n15->n16->n17->n18->n19->n20->n10
6,n1->n2->n3->n13->n23->n24->n25->n15->n5->n6->n7->n8->n9->n10
7,n1->n11->n21->n22->n12->n13->n14->n4->n5->n15->n16->n17->n18->n19->n20->n10
8,n1->n2->n3->n4->n14->n24->n25->n26->n16->n6->n7->n8->n9->n10
9,n1->n11->n21->n22->n12->n13->n14->n15->n5->n6->n16->n17->n18->n19->n20->n10
10,n1->n2->n3->n4->n5->n15->n25->n26->n27->n28->n29->n19->n9->n10
11,n1->n11->n21->n22->n12->n13->n14->n15->n16->n6->n7->n17->n18->n19->n20->n10
12,n1->n2->n3->n4->n5->n6->n16->n17->n27->n28->n29->n19->n9->n10
13,n1->n11->n21->n22->n12->n13->n14->n15->n16->n17->n7->n8->n18->n19->n20->n10
14,n1->n2->n3->n4->n5->n15->n25->n26->n27->n17->n7->n8->n9->n10
15,n1->n11->n21->n22->n12->n13->n14->n15->n16->n17->n18->n8->n9->n19->n20->n10
16,n1->n2->n3->n4->n14->n24->n25->n26->n27->n28->n18->n8->n9->n10
17,n1->n11->n21->n31->n32->n33->n34->n35->n36->n37->n38->n39->n29->n30->n20->n19->n9->n10
18,n1->n2->n12->n13->n23->n24->n25->n35->n45->n46->n47->n48->n38->n28->n18->n19->n9->n10
19,n1->n2->n3->n13->n23->n24->n25->n26->n27->n28->n29->n30->n20->n10
20,n1->n11->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10
21,n1->n2->n12->n11->n21->n31->n41->n42->n32->n22->n23->n24->n25->n26->n27->n28->n29->n19->n9->n10
22,n1->n2->n12->n13->n23->n33->n34->n35->n36->n26->n27->n28->n29->n19->n9->n10
23,n1->n2->n12->n22->n23->n24->n25->n26->n27->n28->n29->n19->n9->n10
24,n1->n2->n3->n13->n14->n24->n25->n26->n27->n28->n29->n19->n9->n10
25,n1->n11->n12->n22->n23->n13->n14->n15->n16->n17->n18->n19->n20->n10
26,n1->n2->n3->n4->n14->n15->n25->n26->n27->n28->n29->n19->n9->n10
27,n1->n11->n12->n22->n23->n24->n14->n15->n16->n17->n18->n19->n20->n10
28,n1->n2->n3->n4->n5->n15->n16->n26->n27->n28->n29->n19->n9->n10
29,n1->n11->n12->n22->n23->n33->n34->n35->n25->n15->n16->n17->n18->n19->n20->n10
30,n1->n2->n3->n13->n23->n24->n25->n26->n16->n17->n7->n8->n9->n10
31,n1->n11->n12->n13->n14->n15->n16->n26->n36->n37->n38->n28->n18->n19->n20->n10
32,n1->n2->n3->n4->n14->n24->n25->n26->n27->n17->n18->n28->n29->n19->n9->n10
33,n1->n11->n12->n13->n14->n15->n16->n17->n27->n37->n38->n39->n29->n30->n20->n10
34,n1->n2->n3->n4->n14->n24->n34->n44->n54->n55->n56->n57->n47->n37->n27->n28->n29->n19->n18->n8->n9->n10
35,n1->n11->n21->n22->n32->n33->n34->n35->n25->n15->n5->n6->n7->n8->n18->n28->n29->n30->n20->n10
36,n1->n2->n3->n13->n23->n24->n25->n26->n27->n37->n47->n48->n49->n39->n40->n30->n20->n19->n9->n10
37,n1->n11->n21->n22->n32->n33->n43->n44->n45->n46->n36->n37->n38->n39->n29->n19->n20->n10
38,n1->n2->n12->n22->n23->n33->n43->n44->n45->n46->n47->n57->n58->n59->n49->n50->n40->n30->n20->n10
