PathID,PathString
1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10
2,n1->n2->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10
3,n1->n2->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10
4,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10
5,n1->n2->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10
6,n1->n11->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10
7,n1->n2->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10
8,n1->n11->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10
9,n1->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10
10,n1->n2->n3->n13->n14->n4->n5->n6->n7->n8->n9->n10
11,n1->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10
12,n1->n2->n3->n4->n5->n15->n16->n17->n7->n8->n9->n10
13,n1->n11->n12->n13->n14->n15->n16->n6->n7->n8->n9->n10
14,n1->n2->n3->n13->n14->n15->n5->n6->n7->n8->n9->n10
15,n1->n2->n3->n4->n5->n6->n16->n17->n18->n19->n9->n10
16,n1->n11->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10
17,n1->n2->n3->n4->n14->n15->n5->n6->n7->n8->n9->n10
18,n1->n2->n3->n13->n14->n15->n16->n17->n18->n8->n9->n10
19,n1->n2->n3->n4->n5->n6->n16->n17->n18->n8->n9->n10
20,n1->n2->n3->n13->n14->n15->n16->n17->n18->n19->n20->n10
21,n1->n2->n12->n13->n14->n15->n16->n6->n7->n8->n9->n10
22,n1->n11->n12->n13->n14->n15->n16->n17->n18->n8->n9->n10
23,n1->n2->n3->n4->n5->n15->n16->n17->n18->n8->n9->n10
24,n1->n11->n12->n13->n14->n15->n16->n17->n18->n19->n9->n10
25,n1->n2->n3->n4->n5->n6->n7->n8->n18->n19->n9->n10
26,n1->n2->n3->n4->n5->n15->n16->n17->n18->n19->n20->n10
27,n1->n2->n3->n4->n5->n6->n16->n17->n18->n19->n20->n10
28,n1->n2->n3->n13->n14->n15->n16->n17->n7->n8->n9->n10
29,n1->n2->n3->n4->n5->n6->n7->n8->n18->n19->n20->n10
30,n1->n2->n3->n4->n14->n15->n16->n17->n18->n19->n20->n10
31,n1->n2->n3->n4->n14->n15->n16->n17->n7->n8->n9->n10
32,n1->n2->n3->n4->n5->n6->n7->n8->n9->n19->n20->n10
33,n1->n2->n3->n4->n5->n6->n16->n17->n7->n8->n9->n10
34,n1->n2->n3->n4->n14->n15->n16->n17->n18->n19->n9->n10
35,n1->n2->n3->n4->n5->n6->n7->n17->n18->n8->n9->n10
36,n1->n2->n3->n4->n14->n15->n16->n17->n18->n8->n9->n10
37,n1->n11->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10
38,n1->n2->n12->n13->n14->n15->n16->n17->n18->n8->n9->n10
39,n1->n2->n3->n4->n5->n6->n7->n17->n18->n19->n20->n10
40,n1->n2->n12->n13->n14->n15->n16->n17->n18->n19->n20->n10
41,n1->n2->n3->n4->n5->n6->n7->n17->n18->n19->n9->n10
42,n1->n11->n12->n22->n23->n13->n3->n4->n5->n6->n7->n8->n9->n10
43,n1->n11->n21->n22->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10
44,n1->n2->n3->n13->n23->n24->n25->n15->n16->n17->n18->n8->n9->n10
45,n1->n11->n21->n22->n23->n24->n14->n15->n5->n6->n7->n8->n9->n10
46,n1->n2->n3->n13->n14->n15->n5->n6->n16->n17->n7->n8->n9->n10
47,n1->n11->n12->n13->n23->n24->n25->n15->n5->n6->n7->n8->n9->n10
48,n1->n11->n21->n22->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10
49,n1->n2->n12->n13->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10
50,n1->n2->n12->n13->n23->n24->n25->n26->n27->n28->n18->n8->n9->n10
51,n1->n2->n3->n13->n23->n24->n25->n15->n16->n6->n7->n8->n9->n10
52,n1->n2->n3->n4->n14->n15->n16->n26->n27->n28->n18->n8->n9->n10
53,n1->n2->n3->n4->n14->n24->n25->n15->n16->n17->n7->n8->n9->n10
54,n1->n2->n3->n13->n23->n24->n25->n15->n5->n6->n7->n8->n9->n10
55,n1->n11->n12->n2->n3->n13->n14->n4->n5->n6->n7->n8->n9->n10
56,n1->n2->n12->n13->n14->n24->n25->n26->n27->n17->n18->n8->n9->n10
57,n1->n2->n12->n13->n23->n24->n14->n15->n5->n6->n7->n8->n9->n10
58,n1->n2->n12->n13->n3->n4->n5->n15->n16->n17->n7->n8->n9->n10
59,n1->n11->n12->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10
60,n1->n2->n12->n13->n23->n24->n14->n4->n5->n6->n7->n8->n9->n10
61,n1->n2->n3->n4->n14->n24->n25->n15->n5->n6->n7->n8->n9->n10
62,n1->n2->n12->n13->n3->n4->n14->n15->n5->n6->n7->n8->n9->n10
63,n1->n11->n21->n22->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10
64,n1->n11->n12->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10
65,n1->n2->n12->n22->n23->n13->n14->n4->n5->n6->n7->n8->n9->n10
66,n1->n2->n3->n13->n14->n15->n25->n26->n16->n6->n7->n8->n9->n10
67,n1->n11->n12->n22->n23->n24->n14->n15->n16->n6->n7->n8->n9->n10
68,n1->n2->n3->n4->n5->n15->n16->n17->n18->n8->n9->n19->n20->n10
69,n1->n11->n12->n2->n3->n13->n14->n15->n16->n17->n7->n8->n9->n10
70,n1->n2->n3->n4->n5->n6->n7->n17->n27->n28->n18->n19->n20->n10
71,n1->n2->n3->n13->n14->n15->n25->n26->n27->n17->n18->n19->n9->n10
72,n1->n11->n12->n13->n23->n24->n25->n15->n16->n6->n7->n8->n9->n10
73,n1->n11->n21->n22->n23->n13->n3->n4->n5->n6->n7->n8->n9->n10
74,n1->n2->n3->n13->n14->n24->n25->n15->n5->n6->n7->n8->n9->n10
75,n1->n2->n3->n13->n14->n15->n5->n6->n7->n8->n18->n19->n20->n10
76,n1->n11->n21->n22->n23->n13->n14->n4->n5->n6->n7->n8->n9->n10
77,n1->n11->n21->n22->n23->n24->n25->n26->n27->n17->n7->n8->n9->n10
78,n1->n11->n21->n22->n23->n24->n14->n4->n5->n6->n7->n8->n9->n10
79,n1->n2->n3->n13->n23->n24->n14->n4->n5->n6->n7->n8->n9->n10
80,n1->n11->n12->n13->n23->n24->n14->n15->n5->n6->n7->n8->n9->n10
81,n1->n11->n12->n13->n14->n4->n5->n15->n16->n6->n7->n8->n9->n10
82,n1->n11->n12->n13->n23->n24->n25->n26->n16->n6->n7->n8->n9->n10
83,n1->n2->n12->n13->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10
84,n1->n2->n12->n13->n14->n24->n25->n15->n16->n6->n7->n8->n9->n10
85,n1->n11->n21->n22->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10
86,n1->n11->n12->n22->n23->n24->n14->n15->n5->n6->n7->n8->n9->n10
87,n1->n11->n12->n2->n3->n13->n14->n15->n5->n6->n7->n8->n9->n10
88,n1->n2->n3->n13->n23->n24->n25->n26->n16->n6->n7->n8->n9->n10
89,n1->n11->n21->n22->n12->n13->n14->n15->n16->n17->n7->n8->n9->n10
90,n1->n11->n12->n13->n23->n24->n14->n15->n16->n17->n7->n8->n9->n10
