PathID,PathString
1,n1->n20->n96->n94->n51
2,n1->n20->n89->n48->n50->n51
3,n1->n13->n11->n29->n50->n51
4,n1->n13->n15->n63->n61->n51
5,n1->n13->n14->n96->n94->n51
6,n1->n99->n97->n27->n52->n51
7,n1->n99->n77->n93->n94->n51
8,n1->n13->n15->n29->n50->n51
9,n1->n13->n12->n14->n96->n94->n51
10,n1->n99->n77->n93->n92->n94->n51
11,n1->n13->n11->n29->n27->n52->n51
12,n1->n20->n21->n67->n64->n49->n51
13,n1->n99->n77->n93->n64->n49->n51
14,n1->n99->n97->n27->n29->n50->n51
15,n1->n20->n89->n90->n59->n50->n51
16,n1->n13->n15->n29->n27->n52->n51
17,n1->n20->n96->n97->n27->n52->n51
18,n1->n20->n89->n48->n47->n49->n51
19,n1->n99->n98->n57->n55->n53->n52->n51
20,n1->n20->n96->n97->n95->n93->n94->n51
21,n1->n13->n11->n9->n10->n63->n61->n51
22,n1->n20->n96->n97->n27->n29->n50->n51
23,n1->n20->n18->n17->n85->n65->n52->n51
24,n1->n20->n19->n68->n58->n59->n50->n51
25,n1->n13->n14->n75->n4->n27->n52->n51
26,n1->n99->n77->n72->n45->n47->n49->n51
27,n1->n20->n19->n17->n85->n65->n52->n51
28,n1->n13->n14->n96->n97->n27->n52->n51
29,n1->n99->n97->n95->n93->n92->n94->n51
30,n1->n99->n97->n95->n89->n48->n50->n51
31,n1->n20->n21->n67->n64->n65->n52->n51
32,n1->n99->n97->n27->n26->n47->n49->n51
33,n1->n20->n89->n95->n93->n64->n49->n51
34,n1->n20->n89->n48->n46->n47->n49->n51
35,n1->n13->n15->n29->n28->n27->n52->n51
36,n1->n20->n21->n67->n64->n62->n61->n51
37,n1->n99->n97->n95->n82->n63->n61->n51
38,n1->n13->n15->n34->n36->n64->n49->n51
39,n1->n20->n21->n23->n77->n93->n94->n51
40,n1->n99->n97->n27->n28->n29->n50->n51
41,n1->n20->n89->n90->n59->n60->n50->n51
42,n1->n20->n89->n95->n82->n63->n61->n51
43,n1->n20->n89->n48->n46->n62->n61->n51
44,n1->n20->n89->n95->n97->n27->n52->n51
45,n1->n20->n21->n67->n64->n93->n94->n51
46,n1->n20->n89->n95->n97->n96->n94->n51
47,n1->n20->n89->n95->n93->n92->n94->n51
48,n1->n99->n77->n93->n64->n65->n52->n51
49,n1->n99->n77->n93->n64->n62->n61->n51
50,n1->n13->n15->n63->n61->n62->n60->n50->n51
51,n1->n13->n14->n12->n8->n10->n63->n61->n51
52,n1->n20->n18->n70->n69->n28->n27->n52->n51
53,n1->n13->n14->n96->n94->n93->n64->n49->n51
54,n1->n99->n98->n57->n83->n85->n65->n52->n51
55,n1->n13->n15->n34->n35->n31->n29->n50->n51
56,n1->n99->n77->n23->n24->n26->n47->n49->n51
57,n1->n13->n12->n6->n33->n31->n29->n50->n51
58,n1->n13->n11->n9->n7->n5->n65->n52->n51
59,n1->n13->n15->n34->n32->n30->n29->n50->n51
60,n1->n20->n18->n16->n38->n36->n64->n49->n51
61,n1->n13->n15->n63->n82->n95->n93->n94->n51
62,n1->n20->n21->n23->n83->n85->n65->n52->n51
63,n1->n20->n19->n17->n85->n58->n59->n50->n51
64,n1->n99->n77->n72->n45->n47->n48->n50->n51
65,n1->n99->n77->n93->n95->n82->n63->n61->n51
66,n1->n20->n18->n17->n68->n58->n59->n50->n51
67,n1->n99->n77->n23->n83->n85->n65->n52->n51
68,n1->n13->n14->n75->n73->n10->n63->n61->n51
69,n1->n99->n97->n95->n93->n91->n92->n94->n51
70,n1->n20->n96->n97->n99->n77->n93->n94->n51
71,n1->n20->n19->n17->n68->n58->n59->n50->n51
72,n1->n20->n96->n14->n13->n15->n29->n50->n51
73,n1->n20->n21->n22->n68->n58->n59->n50->n51
74,n1->n99->n77->n72->n73->n10->n63->n61->n51
75,n1->n13->n14->n75->n76->n30->n29->n50->n51
76,n1->n99->n97->n27->n25->n26->n47->n49->n51
77,n1->n13->n12->n14->n75->n4->n27->n52->n51
78,n1->n13->n14->n75->n4->n27->n29->n50->n51
79,n1->n20->n19->n17->n85->n65->n64->n49->n51
80,n1->n99->n77->n72->n73->n54->n53->n52->n51
81,n1->n20->n18->n19->n68->n58->n59->n50->n51
82,n1->n20->n21->n23->n24->n26->n27->n52->n51
83,n1->n20->n21->n67->n64->n62->n60->n50->n51
84,n1->n99->n77->n23->n24->n26->n27->n52->n51
85,n1->n99->n97->n95->n82->n54->n53->n52->n51
86,n1->n20->n96->n94->n92->n93->n64->n49->n51
87,n1->n13->n14->n75->n73->n54->n53->n52->n51
88,n1->n13->n15->n63->n61->n62->n64->n49->n51
89,n1->n13->n11->n29->n50->n48->n47->n49->n51
90,n1->n99->n97->n95->n93->n64->n65->n52->n51
91,n1->n13->n15->n34->n32->n31->n29->n50->n51
92,n1->n99->n97->n96->n20->n89->n48->n50->n51
93,n1->n20->n21->n67->n38->n36->n64->n49->n51
94,n1->n20->n21->n67->n38->n37->n65->n52->n51
95,n1->n20->n89->n48->n50->n29->n27->n52->n51
96,n1->n13->n15->n34->n36->n64->n93->n94->n51
97,n1->n20->n21->n23->n77->n93->n64->n49->n51
98,n1->n20->n96->n97->n95->n89->n48->n50->n51
99,n1->n20->n18->n16->n38->n37->n65->n52->n51
100,n1->n20->n18->n16->n38->n67->n64->n49->n51
101,n1->n13->n14->n75->n73->n100->n90->n59->n50->n51
102,n1->n13->n12->n8->n7->n9->n10->n63->n61->n51
103,n1->n99->n97->n96->n14->n13->n11->n29->n50->n51
104,n1->n99->n98->n57->n74->n76->n30->n29->n50->n51
105,n1->n13->n15->n63->n42->n40->n54->n53->n52->n51
106,n1->n99->n98->n57->n55->n56->n54->n53->n52->n51
107,n1->n20->n96->n14->n75->n4->n27->n29->n50->n51
108,n1->n99->n77->n72->n71->n73->n54->n53->n52->n51
109,n1->n99->n77->n23->n83->n57->n55->n53->n52->n51
110,n1->n99->n77->n93->n64->n49->n47->n48->n50->n51
111,n1->n20->n18->n16->n38->n39->n10->n63->n61->n51
112,n1->n20->n19->n17->n68->n58->n85->n65->n52->n51
113,n1->n20->n18->n70->n72->n45->n47->n48->n50->n51
114,n1->n13->n11->n9->n10->n73->n54->n53->n52->n51
115,n1->n20->n19->n68->n22->n21->n67->n64->n49->n51
116,n1->n13->n12->n14->n75->n76->n30->n29->n50->n51
117,n1->n13->n12->n8->n10->n39->n37->n65->n52->n51
118,n1->n20->n21->n67->n64->n49->n47->n48->n50->n51
119,n1->n13->n12->n8->n10->n9->n11->n29->n50->n51
120,n1->n20->n18->n70->n72->n73->n10->n63->n61->n51
121,n1->n13->n12->n6->n33->n31->n29->n27->n52->n51
122,n1->n20->n96->n97->n99->n77->n93->n92->n94->n51
123,n1->n13->n14->n75->n71->n73->n10->n63->n61->n51
124,n1->n99->n98->n57->n83->n85->n65->n64->n49->n51
125,n1->n20->n18->n16->n38->n36->n64->n93->n94->n51
126,n1->n99->n98->n57->n74->n35->n31->n29->n50->n51
127,n1->n99->n77->n72->n71->n75->n4->n27->n52->n51
128,n1->n20->n18->n19->n17->n85->n58->n59->n50->n51
129,n1->n20->n18->n19->n17->n68->n58->n59->n50->n51
130,n1->n20->n96->n14->n13->n15->n29->n27->n52->n51
131,n1->n13->n15->n29->n11->n9->n10->n63->n61->n51
132,n1->n13->n12->n6->n33->n32->n30->n29->n50->n51
133,n1->n99->n97->n96->n20->n89->n90->n59->n50->n51
134,n1->n99->n77->n23->n83->n85->n58->n59->n50->n51
135,n1->n20->n89->n48->n46->n62->n60->n59->n50->n51
136,n1->n13->n14->n96->n97->n27->n28->n29->n50->n51
137,n1->n13->n14->n75->n73->n54->n55->n53->n52->n51
138,n1->n99->n98->n57->n83->n81->n37->n65->n52->n51
139,n1->n99->n98->n57->n83->n85->n58->n59->n50->n51
140,n1->n13->n12->n14->n96->n94->n93->n64->n49->n51
141,n1->n20->n19->n18->n16->n38->n36->n64->n49->n51
142,n1->n13->n11->n29->n15->n34->n36->n64->n49->n51
143,n1->n99->n77->n72->n71->n24->n26->n27->n52->n51
144,n1->n20->n96->n97->n95->n82->n54->n53->n52->n51
145,n1->n13->n15->n34->n36->n38->n67->n64->n49->n51
146,n1->n20->n21->n23->n24->n33->n31->n29->n50->n51
147,n1->n20->n96->n94->n93->n64->n62->n60->n50->n51
148,n1->n20->n21->n67->n38->n36->n64->n93->n94->n51
149,n1->n99->n98->n57->n74->n75->n4->n27->n52->n51
150,n1->n20->n96->n94->n92->n91->n93->n64->n49->n51
151,n1->n20->n96->n14->n12->n13->n11->n29->n50->n51
152,n1->n20->n19->n17->n18->n16->n38->n67->n64->n49->n51
153,n1->n99->n97->n96->n14->n12->n8->n10->n63->n61->n51
154,n1->n13->n15->n63->n10->n8->n7->n5->n65->n52->n51
155,n1->n13->n14->n75->n71->n24->n26->n47->n48->n50->n51
156,n1->n20->n21->n67->n38->n36->n64->n62->n60->n50->n51
157,n1->n13->n14->n12->n6->n33->n32->n30->n29->n50->n51
158,n1->n13->n12->n14->n75->n74->n35->n31->n29->n50->n51
159,n1->n13->n15->n34->n35->n74->n57->n55->n53->n52->n51
160,n1->n99->n98->n57->n83->n84->n85->n58->n59->n50->n51
161,n1->n99->n98->n57->n83->n84->n85->n65->n64->n49->n51
162,n1->n99->n98->n57->n74->n22->n68->n58->n59->n50->n51
163,n1->n99->n98->n57->n55->n53->n54->n82->n63->n61->n51
164,n1->n20->n19->n18->n70->n69->n76->n30->n29->n50->n51
165,n1->n99->n98->n57->n74->n35->n33->n31->n29->n50->n51
166,n1->n13->n15->n63->n61->n62->n46->n48->n47->n49->n51
167,n1->n13->n12->n6->n33->n32->n31->n29->n27->n52->n51
168,n1->n99->n77->n72->n70->n87->n88->n90->n59->n50->n51
169,n1->n99->n98->n57->n74->n76->n75->n14->n96->n94->n51
170,n1->n20->n18->n17->n68->n22->n21->n67->n64->n49->n51
171,n1->n20->n18->n17->n19->n68->n58->n59->n60->n50->n51
172,n1->n13->n12->n6->n33->n35->n34->n15->n63->n61->n51
173,n1->n99->n98->n57->n74->n76->n30->n29->n27->n52->n51
174,n1->n13->n15->n34->n32->n33->n24->n26->n27->n52->n51
175,n1->n99->n97->n27->n28->n69->n76->n30->n29->n50->n51
176,n1->n99->n77->n72->n45->n47->n46->n62->n64->n49->n51
177,n1->n99->n98->n57->n83->n81->n80->n82->n63->n61->n51
178,n1->n99->n77->n23->n24->n71->n72->n45->n47->n49->n51
179,n1->n20->n18->n17->n19->n68->n58->n85->n65->n52->n51
180,n1->n13->n14->n75->n71->n72->n73->n54->n53->n52->n51
181,n1->n20->n19->n17->n68->n66->n32->n30->n29->n50->n51
182,n1->n20->n18->n70->n87->n86->n76->n30->n29->n50->n51
183,n1->n99->n98->n57->n74->n76->n78->n85->n65->n52->n51
184,n1->n20->n18->n17->n85->n83->n84->n82->n63->n61->n51
185,n1->n20->n96->n97->n99->n98->n57->n55->n53->n52->n51
186,n1->n20->n96->n14->n13->n12->n8->n10->n63->n61->n51
187,n1->n99->n98->n57->n74->n22->n21->n67->n64->n49->n51
188,n1->n13->n12->n8->n10->n73->n100->n90->n59->n50->n51
189,n1->n20->n18->n17->n85->n84->n33->n31->n29->n50->n51
190,n1->n99->n77->n23->n21->n67->n38->n36->n64->n49->n51
191,n1->n13->n12->n14->n75->n76->n78->n85->n65->n52->n51
192,n1->n99->n77->n72->n73->n100->n2->n4->n27->n52->n51
193,n1->n20->n19->n18->n70->n87->n88->n90->n59->n50->n51
194,n1->n99->n97->n27->n4->n2->n100->n90->n59->n50->n51
195,n1->n13->n12->n6->n33->n32->n31->n30->n29->n50->n51
196,n1->n13->n15->n63->n82->n84->n33->n31->n29->n50->n51
197,n1->n20->n19->n18->n16->n38->n37->n65->n64->n49->n51
198,n1->n13->n12->n6->n33->n35->n31->n30->n29->n50->n51
199,n1->n99->n97->n96->n20->n18->n17->n85->n65->n52->n51
200,n1->n20->n89->n88->n87->n86->n76->n30->n29->n50->n51
201,n1->n99->n97->n27->n4->n2->n7->n5->n65->n52->n51
202,n1->n13->n14->n96->n20->n21->n23->n77->n93->n94->n51
203,n1->n13->n11->n9->n7->n5->n65->n85->n58->n59->n50->n51
204,n1->n99->n98->n57->n74->n76->n78->n44->n42->n63->n61->n51
205,n1->n99->n77->n23->n83->n57->n55->n56->n54->n53->n52->n51
206,n1->n13->n11->n29->n31->n33->n24->n23->n77->n93->n94->n51
207,n1->n20->n21->n23->n83->n81->n37->n39->n10->n63->n61->n51
208,n1->n20->n18->n70->n72->n45->n47->n49->n64->n93->n94->n51
