PathID,PathString
1,n94->n84->n74->n64->n63
2,n94->n93->n83->n73->n63
3,n94->n84->n83->n73->n63
4,n94->n84->n74->n73->n63
5,n94->n84->n74->n64->n54->n53->n63
6,n94->n95->n85->n75->n65->n64->n63
7,n94->n93->n92->n82->n72->n62->n63
8,n94->n93->n83->n82->n72->n62->n63
9,n94->n93->n83->n73->n72->n62->n63
10,n94->n84->n85->n75->n65->n64->n63
11,n94->n84->n83->n82->n72->n62->n63
12,n94->n84->n83->n73->n72->n62->n63
13,n94->n84->n74->n75->n65->n64->n63
14,n94->n84->n74->n73->n72->n62->n63
15,n94->n95->n85->n84->n74->n64->n63
16,n94->n95->n85->n75->n74->n64->n63
17,n94->n93->n92->n82->n83->n73->n63
18,n94->n93->n92->n82->n72->n73->n63
19,n94->n93->n83->n84->n74->n64->n63
20,n94->n93->n83->n82->n72->n73->n63
21,n94->n93->n83->n73->n74->n64->n63
22,n94->n84->n85->n75->n74->n64->n63
23,n94->n84->n83->n82->n72->n73->n63
24,n94->n84->n83->n73->n74->n64->n63
25,n94->n95->n85->n84->n83->n73->n63
26,n94->n95->n85->n84->n74->n73->n63
27,n94->n95->n85->n75->n74->n73->n63
28,n94->n93->n83->n84->n74->n73->n63
29,n94->n84->n85->n75->n74->n73->n63
30,n94->n84->n74->n64->n65->n55->n54->n53->n63
31,n94->n84->n74->n64->n54->n44->n43->n53->n63
32,n94->n84->n74->n64->n54->n53->n52->n62->n63
33,n94->n95->n96->n86->n76->n66->n65->n64->n63
34,n94->n95->n85->n75->n65->n55->n54->n53->n63
35,n94->n95->n85->n75->n65->n64->n54->n53->n63
36,n94->n93->n92->n82->n72->n62->n52->n53->n63
37,n94->n93->n83->n82->n81->n71->n61->n62->n63
38,n94->n93->n83->n82->n72->n62->n52->n53->n63
39,n94->n93->n83->n73->n72->n71->n61->n62->n63
40,n94->n93->n83->n73->n72->n62->n52->n53->n63
41,n94->n84->n85->n86->n76->n66->n65->n64->n63
42,n94->n84->n85->n75->n65->n55->n54->n53->n63
43,n94->n84->n85->n75->n65->n64->n54->n53->n63
44,n94->n84->n83->n82->n81->n71->n61->n62->n63
45,n94->n84->n83->n82->n72->n62->n52->n53->n63
46,n94->n84->n74->n75->n76->n66->n65->n64->n63
47,n94->n84->n74->n75->n65->n55->n54->n53->n63
48,n94->n84->n74->n75->n65->n64->n54->n53->n63
49,n94->n84->n74->n73->n83->n82->n72->n62->n63
50,n94->n84->n74->n73->n72->n71->n61->n62->n63
51,n94->n84->n74->n73->n72->n62->n52->n53->n63
52,n94->n95->n85->n86->n76->n66->n65->n64->n63
53,n94->n95->n85->n84->n74->n64->n54->n53->n63
54,n94->n95->n85->n75->n76->n66->n65->n64->n63
55,n94->n95->n85->n75->n74->n64->n54->n53->n63
56,n94->n93->n92->n82->n81->n71->n61->n62->n63
57,n94->n93->n92->n82->n83->n84->n74->n64->n63
58,n94->n93->n92->n82->n83->n73->n72->n62->n63
59,n94->n93->n92->n82->n72->n71->n61->n62->n63
60,n94->n93->n92->n82->n72->n73->n74->n64->n63
61,n94->n93->n83->n84->n85->n75->n65->n64->n63
62,n94->n93->n83->n82->n72->n71->n61->n62->n63
63,n94->n93->n83->n82->n72->n73->n74->n64->n63
64,n94->n93->n83->n73->n74->n75->n65->n64->n63
65,n94->n93->n83->n73->n74->n64->n54->n53->n63
